One “master” query: tables + columns + PK + FK + data types + defaults,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SchemaName,TableName,ColumnOrder,ColumnName,DataType,IsNullable,IsIdentity,IsComputed,DefaultDefinition,PrimaryKeyOrdinal,FK_Name,RefSchema,RefTable,RefColumn,ColumnDescription
dbo,AP_DISTRIBUTION,5,APD_DISTRIBUTION_DATE,datetime,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,6,APD_VOUCHER_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,7,APD_USER_ID,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,8,APD_CORRECTION_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,9,APD_VENDOR_NUMBER,varchar(7),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,10,APD_DISTRIBUTION_CREDIT_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,11,APD_DISTRIBUTION_DEBIT_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,12,APD_INVOICE_NUMBER,varchar(20),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,13,APD_JOURNAL_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,14,APD_POST_TO_GL_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,15,apd_GL_Entry_Whs,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,1,IRS_COMPANY_ID,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,2,IRS_RECORD_TYPE,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,3,IRS_PAYMENT_YEAR,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,4,IRS_PAYER_FEDERAL_ID_NUMBER,varchar(9),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,5,IRS_PAYER_FORM_TYPE,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,6,IRS_PAYER_NON_EMP_AMOUNT_7,varchar(1),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,7,IRS_PAYER_TRANSMIT_CTL_CODE,varchar(5),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,8,IRS_PAYER_NAME_LINE_1,varchar(30),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,9,IRS_PAYER_TRANSFER_AGENT_CODE,varchar(1),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,10,IRS_PAYER_ADDRESS,varchar(30),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,11,IRS_PAYER_CITY,varchar(20),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,12,IRS_PAYER_STATE,varchar(2),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,13,IRS_PAYER_ZIP_CODE,varchar(10),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,14,IRS_PAYEE_FEDERAL_NUMBER_TYPE,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,15,IRS_PAYEE_FEDERAL_ID_NUMBER,varchar(9),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,16,IRS_PAYEE_PAYMENT_AMOUNT_1,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,17,IRS_PAYEE_PAYMENT_AMOUNT_2,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,18,IRS_PAYEE_PAYMENT_AMOUNT_3,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
